,time_min,level_m,drawdown_m
0,0.5,21.95,0.0
1,1.0,22.45,0.5
2,1.5,22.76,0.8100000000000023
3,2.0,23.14,1.1900000000000013
4,2.5,23.28,1.3300000000000018
5,3.0,23.39,1.4400000000000013
6,3.5,23.49,1.5399999999999991
7,4.0,23.53,1.5800000000000018
8,4.5,23.55,1.6000000000000014
9,5.0,23.58,1.629999999999999
10,5.5,23.61,1.6600000000000001
11,6.0,23.64,1.6900000000000013
12,6.5,23.66,1.7100000000000009
13,7.0,23.68,1.7300000000000004
14,7.5,23.69,1.740000000000002
15,8.0,23.7,1.75
16,8.5,23.71,1.7600000000000016
17,9.0,23.73,1.7800000000000011
18,9.5,23.75,1.8000000000000007
19,10.0,23.75,1.8000000000000007
20,11.0,23.78,1.8300000000000018
21,12.0,23.8,1.8500000000000014
22,13.0,23.83,1.879999999999999
23,14.0,23.84,1.8900000000000006
24,15.0,23.85,1.9000000000000021
25,16.0,23.86,1.9100000000000001
26,17.0,23.87,1.9200000000000017
27,18.0,23.88,1.9299999999999997
28,19.0,23.89,1.9400000000000013
29,20.0,23.9,1.9499999999999993
30,21.0,23.91,1.9600000000000009
31,22.0,23.91,1.9600000000000009
32,23.0,23.92,1.9700000000000024
33,24.0,23.95,2.0
34,25.0,23.93,1.9800000000000004
35,26.0,23.94,1.990000000000002
36,27.0,23.94,1.990000000000002
37,28.0,23.95,2.0
38,29.0,23.96,2.0100000000000016
39,30.0,23.96,2.0100000000000016
40,35.0,24.0,2.0500000000000007
41,40.0,24.04,2.09
42,45.0,24.06,2.1099999999999994
43,50.0,24.08,2.129999999999999
44,55.0,24.1,2.150000000000002
45,60.0,24.11,2.16
46,65.0,24.15,2.1999999999999993
47,70.0,24.15,2.1999999999999993
48,75.0,24.15,2.1999999999999993
49,80.0,24.16,2.210000000000001
50,85.0,24.17,2.2200000000000024
51,90.0,24.17,2.2200000000000024
52,95.0,24.19,2.240000000000002
53,100.0,24.2,2.25
54,105.0,24.22,2.2699999999999996
55,110.0,24.21,2.2600000000000016
56,115.0,24.23,2.280000000000001
57,120.0,24.24,2.289999999999999
58,120.5,24.7,2.75
59,121.0,25.45,3.5
60,121.5,26.07,4.120000000000001
61,122.0,26.5,4.550000000000001
62,122.5,26.85,4.900000000000002
63,123.0,27.21,5.260000000000002
64,123.5,27.4,5.449999999999999
65,124.0,27.64,5.690000000000001
66,124.5,27.72,5.77
67,125.0,27.79,5.84
68,125.5,27.88,5.93
69,126.0,27.92,5.970000000000002
70,126.5,27.97,6.02
71,127.0,28.01,6.060000000000002
72,127.5,28.05,6.100000000000001
73,128.0,28.08,6.129999999999999
74,128.5,28.1,6.150000000000002
75,129.0,28.13,6.18
76,129.5,28.16,6.210000000000001
77,130.0,28.18,6.23
78,131.0,28.2,6.25
79,132.0,28.22,6.27
80,133.0,28.25,6.300000000000001
81,134.0,28.28,6.330000000000002
82,135.0,28.31,6.359999999999999
83,136.0,28.34,6.390000000000001
84,137.0,28.26,6.310000000000002
85,138.0,28.41,6.460000000000001
86,139.0,28.41,6.460000000000001
87,140.0,28.42,6.470000000000002
88,141.0,28.43,6.48
89,142.0,28.45,6.5
90,143.0,28.47,6.52
91,144.0,28.49,6.539999999999999
92,145.0,28.5,6.550000000000001
93,146.0,28.5,6.550000000000001
94,147.0,28.51,6.560000000000002
95,148.0,28.52,6.57
96,149.0,28.53,6.580000000000002
97,150.0,28.54,6.59
98,155.0,28.6,6.650000000000002
99,160.0,28.64,6.690000000000001
100,165.0,28.67,6.720000000000002
