time_min,level_mbd
0,21.08
0.5,28.37
1,30.52
1.5,33.12
2,34.44
2.5,35.31
3,36.03
3.5,36.49
4,36.79
4.5,37.07
5,37.35
5.5,37.44
6,37.54
6.5,37.65
7,37.71
7.5,37.81
8,37.91
8.5,37.97
9,38.03
9.5,38.09
10,38.15
11,38.2
12,38.28
13,38.37
14,38.45
15,38.49
16,38.54
17,38.58
18,38.65
19,38.69
20,38.73
21,38.76
22,38.75
23,38.83
24,38.88
25,38.9
26,38.9
27,38.91
28,38.97
29,39
30,39.01
35,39.15
40,39.24
45,39.31
50,39.39
55,39.48
60,39.53
65,39.54
70,39.65
75,39.7
80,39.74
85,39.79
90,39.81
95,39.87
100,39.89
105,39.91
110,39.91
115,40
120,40
135,40.03
150,40.11
165,40.27
180,40.27
210,40.32
240,40.42
300,40.54
360,40.67
420,40.74
480,40.88
540,40.99
600,41.03
660,41.17
780,41.3
900,41.42
1080,41.58
1260,41.69
1440,41.77
1680,41.87
1920,41.99
